country,imports,exports
guinea-bissau,"['Broken rice', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Portland cement (excl. white whether or not artificially coloured)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Wheat or meslin flour', 'Cider perry mead saké and other fermented beverages and mixtures of fermented beverages and non-alcoholic beverages n.e.s. (excl. beer wine or fresh grapes grape must vermouth and other wine of fresh grapes flavoured with plants or aromatic substances)', 'Parts of machinery for working mineral substances of heading 8474 n.e.s.', 'Waters incl. mineral and aerated with added sugar sweetener or flavour for direct consumption as a beverage', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.500 cm³ but <= 3.000 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Apparatus for the transmission or reception of voice images or other data incl. apparatus for communication in a wired or wireless network [such as a local or wide area network] (excl. telephone sets telephones for cellular networks or for other wireless networks base stations apparatus for the reception conversion and transmission or regeneration of voice images or other data and transmission or reception apparatus of heading\xa08443\xa08525\xa08527 or\xa08528)']","['Fresh or dried cashew nuts in shell', 'Unspecified products', 'Wood sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. tropical wood coniferous wood oak ""Quercus spp."" beech ""Fagus spp."" maple ""Acer spp."" cherry ""Prunus spp."" ash ""Fraxinus spp."" birch ""Betula spp."" poplar and aspen ""Populus spp."")', 'Oak ""Quercus spp."" sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm', 'Tropical wood sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. virola mahogany ""Swietenia spp."" imbuia balsa teak dark red meranti light red meranti meranti bakau white lauan white meranti white seraya yellow meranti alan sapelli and iroko)']"
haiti,"['Husked or brown rice', 'T-shirts singlets and other vests of cotton knitted or crocheted', 'Portland cement (excl. white whether or not artificially coloured)', 'Bars and rods of iron or non-alloy steel with indentations ribs groves or other deformations produced during the rolling process', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Frozen cuts and edible offal of fowls of the species Gallus domesticus', 'Milk and cream concentrated but unsweetened (excl. in solid forms)', 'Soups and broths and preparations therefor', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)']","[""Women's or girls' blouses shirts and shirt-blouses of textile materials (excl. of silk silk waste wool fine animal hair cotton or man-made fibres knitted or crocheted and vests)"", ""Men's or boys' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted underpants and swimwear)"", ""Women's or girls' blouses shirts and shirt-blouses of cotton (excl. knitted or crocheted and vests)"", 'Fresh or dried guavas mangoes and mangosteens', 'Coffee husks and skins; coffee substitutes containing coffee in any proportion', 'Gloves mittens and mitts of synthetic fibres knitted or crocheted (excl. impregnated coated covered or laminated with plastics or rubber and for babies)', 'Articles of apparel and clothing accessories of paper pulp paper cellulose wadding or webs of cellulose fibres (excl. footware and parts thereof incl. insoles heel pieces and similar removable products gaiters and similar products headgear and parts thereof)', 'Corsets braces garters suspenders and similar articles and parts thereof incl. parts of brassieres girdles panty girdles and corselettes of all types of textile materials whether or not elasticated incl. knitted or crocheted (excl. complete brassieres girdles panty girdles and corselettes)', ""Women's or girls' singlets and other vests briefs panties négligés bathrobes dressing gowns housecoats and similar articles of textile materials (excl. of cotton or man-made fibres knitted or crocheted slips petticoats nightdresses and pyjamas brassières girdles corsets and similar articles)"", 'Belts and bandoliers of leather or composition leather']"
honduras,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Food preparations n.e.s.', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Maize (excl. seed for sowing)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.500 cm³ but <= 3.000 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Motorcycles incl. mopeds with reciprocating internal combustion piston engine of a cylinder capacity > 50 cm³ but <= 250 cm³', 'Smartphones for wireless networks', 'Propane liquefied']","['Coffee (excl. roasted and decaffeinated)', 'Fresh or dried bananas (excl. plantains)', 'Crude palm oil', 'Frozen shrimps and prawns even smoked whether in shell or not incl. shrimps and prawns in shell cooked by steaming or by boiling in water (excl. cold-water shrimps and prawns)', 'Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Cigars cheroots and cigarillos containing tobacco', ""Bread pastry cakes biscuits and other bakers' wares whether or not containing cocoa; communion wafers empty cachets of a kind suitable for pharmaceutical use sealing wafers rice paper and similar products (excl. crispbread gingerbread and the like sweet biscuits waffles wafers not mentioned rusks toasted bread and similar toasted products)"", 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Fresh melons (excl. watermelons)', 'Soap and organic surface-active products and preparations in the form of bars cakes moulded pieces or shapes and paper wadding felt and nonwovens impregnated coated or covered with soap or detergent (excl. those for toilet use incl. medicated products)']"
india,"['Petroleum oils and oils obtained from bituminous minerals crude', 'Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Natural gas liquefied', 'Electronic integrated circuits as processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits', 'Parts of telephone sets telephones for cellular networks or for other wireless networks and of other apparatus for the transmission or reception of voice images or other data n.e.s.', 'Non-industrial diamonds unworked or simply sawn cleaved or bruted (excl. industrial diamonds)', 'Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters dirigibles and unmanned of heading 8806)', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Propane liquefied']","['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Smartphones for wireless networks', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Diamonds worked but not mounted or set (excl. industrial diamonds)', 'Articles of jewellery and parts thereof of precious metal other than silver whether or not plated or clad with precious metal (excl. articles > 100 years old)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters dirigibles and unmanned of heading 8806)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.000 cm³ but <= 1.500 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Turbojets of a thrust > 25 kN']"
indonesia,"['Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Raw cane sugar in solid form not containing added flavouring or colouring matter (excl. cane sugar of 1701 13)', 'Parts of telephone sets telephones for cellular networks or for other wireless networks and of other apparatus for the transmission or reception of voice images or other data n.e.s.', 'Bituminous coal whether or not pulverised non-agglomerated', 'Oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soya-bean oil', 'Semi-milled or wholly milled rice whether or not polished or glazed']","['Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Ferro-nickel', 'Copper ores and concentrates', 'Bituminous coal whether or not pulverised non-agglomerated', 'Lignite whether or not pulverised non-agglomerated (excl. jet)', 'Natural gas liquefied', 'Articles of jewellery and parts thereof of precious metal other than silver whether or not plated or clad with precious metal (excl. articles > 100 years old)', 'Nickel oxide sinters and other intermediate products of nickel metallurgy (excl. nickel mattes)', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only spark-ignition internal combustion reciprocating piston engine of a cylinder capacity > 1.000 cm³ but <= 1.500 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)']"
cote-d-ivoire,"['Petroleum oils and oils obtained from bituminous minerals crude', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Floating or submersible drilling or production platforms', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Vessels for the transport of goods and vessels for the transport of both persons and goods (excl. refrigerated vessels tankers ferry-boats and vessels principally designed for the transport of persons)', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Vessels incl. lifeboats (excl. warships rowing boats and other vessels of heading 8901 to 8905 and vessels for breaking up)', 'Frozen jack and horse mackerel ""Trachurus spp.""', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.']","['Cocoa beans whole or broken raw or roasted', 'Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Technically specified natural rubber ""TSNR""', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Cocoa paste (excl. defatted)', 'Cocoa butter fat and oil', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Fresh or dried cashew nuts in shell', 'Cocoa shells husks skins and other cocoa waste', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)']"
kenya,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Crude palm oil', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Flat-rolled products of iron or non-alloy steel of a width of >= 600 mm in coils simply hot-rolled not clad plated or coated of a thickness of < 3 mm not pickled without patterns in relief', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Tanks and other armoured fighting vehicles motorised whether or not fitted with weapons and parts of such vehicles n.e.s.']","['Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of > 3 kg', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Fresh cut roses and buds of a kind suitable for bouquets or for ornamental purposes', 'Coffee (excl. roasted and decaffeinated)', 'Fresh cut flowers and buds of a kind suitable for bouquets or for ornamental purposes (excl. roses carnations orchids chrysanthemums and lilies)', 'Fresh or dried avocados', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Cement clinkers', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Titanium ores and concentrates']"
lao-people-s-democratic-republic,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper corrugated paper or corrugated paperboard', 'Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Non-alcoholic beverages (excl. water fruit or vegetable juices milk and beer)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Processing units for automatic data-processing machines whether or not containing in the same housing one or two of the following types of unit: storage units input units output units (excl. those of heading 8471.41 or 8471.49 and excl. peripheral units)', 'Electric conductors for a voltage <= 1.000 V insulated fitted with connectors n.e.s.', 'Live bovine animals (excl. cattle and buffalo)']","['Electrical energy', 'Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Copper ores and concentrates', 'Testliner ""recycled liner board"" uncoated in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state weighing > 150 g/m²', 'Chemical wood pulp dissolving grades', 'Fresh chilled frozen or dried roots and tubers of manioc ""cassava"" whether or not sliced or in the form of pellets', 'Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)', 'Testliner ""recycled liner board"" uncoated in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state weighing <= 150 g/m²', 'Non-alcoholic beverages (excl. water fruit or vegetable juices milk and beer)', 'Fresh or dried plantains']"
lesotho,"['Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Cotton neither carded nor combed', 'Knitted or crocheted fabrics of synthetic fibres of a width of <= 30 cm (excl. those containing by weight >= 5% of elastomeric yarn or rubber thread and pile fabrics incl. ""long pile"" looped pile fabrics labels badges and similar articles knitted or crocheted fabrics impregnated coated covered or laminated and sterile surgical or dental adhesion barriers of subheading 3006.10.30)', 'Electrical energy', 'Maize ""corn"" flour', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Parts suitable for use solely or principally with the apparatus of heading 8535 8536 or 8537 n.e.s. (excl. boards panels consoles desks cabinets and other bases for the goods of heading 8537 not equipped with their apparatus)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Maize (excl. seed for sowing)', 'Fabrics knitted or crocheted of a width of > 30 cm (excl. of man-made fibres cotton wool or fine animal hair warp knit fabrics ""incl. those made on galloon knitting machines"" those containing by weight >= 5% of elastomeric yarn or rubber thread and pile fabrics incl. ""long pile"" looped pile fabrics labels badges and similar articles and knitted or crocheted fabrics impregnated coated covered or laminated)']","['Non-industrial diamonds unworked or simply sawn cleaved or bruted (excl. industrial diamonds)', 'Mineral waters and aerated waters not containing added sugar other sweetening matter or flavoured', ""Women's or girls' trousers bib and brace overalls breeches and shorts of synthetic fibres knitted or crocheted (excl. panties and swimwear)"", ""Men's or boys' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted underpants and swimwear)"", 'T-shirts singlets and other vests of textile materials knitted or crocheted (excl. cotton)', 'Greasy wool incl. fleece-washed wool neither carded nor combed (excl. shorn wool)', 'Automatic circuit breakers for a voltage <= 1.000 V', ""Men's or boys' shirts of man-made fibres knitted or crocheted (excl. nightshirts T-shirts singlets and other vests)"", ""Women's or girls' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted panties and swimwear)"", 'Articles for interior furnishing of synthetic fibres (excl. knitted or crocheted blankets and travelling rugs bedlinen table linen toilet linen kitchen linen curtains incl. drapes interior blinds curtain or bed valances bedspreads lampshades and articles of heading 9404)']"
liberia,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight <= 5 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Cement clinkers', 'Machines for the reception conversion and transmission or regeneration of voice images or other data incl. switching and routing apparatus (excl. telephone sets telephones for cellular networks or for other wireless networks)', 'Motor vehicles for the transport of goods with only compression-ignition internal combustion piston engine ""diesel or semi-diesel"" of a gross vehicle weight > 20 t (excl. dumpers for off-highway use of subheading 8704.10 and special purpose motor vehicles of heading 8705)', 'Worn clothing and clothing accessories blankets and travelling rugs household linen and articles for interior furnishing of all types of textile materials incl. all types of footwear and headgear showing signs of appreciable wear and presented in bulk or in bales sacks or similar packings (excl. carpets other floor coverings and tapestries)', 'Petroleum bitumen']","['Technically specified natural rubber ""TSNR""', 'Natural rubber in primary forms or in plates sheets or strip (excl. smoked sheets technically specified natural rubber ""TSNR"" and natural rubber latex whether or not prevulcanised)', 'Crude palm oil', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Cocoa beans whole or broken raw or roasted', 'Palm kernel and babassu oil and their fractions whether or not refined but not chemically modified (excl. crude)', 'Petroleum oils and oils obtained from bituminous minerals crude', 'Fans (excl. table floor wall window ceiling or roof fans with a self-contained electric motor of an output <= 125 W)', 'Natural rubber latex whether or not prevulcanised', 'Lubricant preparations incl. cutting-oil preparations bolt or nut release preparations anti-rust or anti-corrosion preparations and mould-release preparations based on lubricants and containing petroleum oil or bituminous mineral oil (excl. preparations containing as basic constituents >= 70% of petroleum oil or bituminous mineral oil by weight and preparations for treating textiles leather furskins and other materials)']"
madagascar,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Crude palm oil', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Raw cane sugar in solid form not containing added flavouring or colouring matter (excl. cane sugar of 1701 13)', 'Worn clothing and clothing accessories blankets and travelling rugs household linen and articles for interior furnishing of all types of textile materials incl. all types of footwear and headgear showing signs of appreciable wear and presented in bulk or in bales sacks or similar packings (excl. carpets other floor coverings and tapestries)', 'Portland cement (excl. white whether or not artificially coloured)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Wheat or meslin flour']","['Nickel not alloyed unwrought', 'Vanilla neither crushed nor ground', 'Cloves whole fruit cloves and stems neither crushed nor ground', 'Titanium ores and concentrates', ""Men's or boys' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted underpants and swimwear)"", 'Essential oils whether or not terpeneless incl. concretes and absolutes (excl. those of citrus fruit and mint)', 'Cocoa beans whole or broken raw or roasted', 'Frozen shrimps and prawns even smoked whether in shell or not incl. shrimps and prawns in shell cooked by steaming or by boiling in water (excl. cold-water shrimps and prawns)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt powders']"
malawi,"['Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Urea whether or not in aqueous solution (excl. that in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Mineral or chemical fertilisers containing the three fertilising elements nitrogen phosphorus and potassium (excl. those in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Unused postage revenue or similar stamps of current or new issue in the country in which they have or will have a recognised face value; stamp-impressed paper; banknotes; cheque forms; stock share or bond certificates and similar documents of title', 'Unspecified products', 'Worn clothing and clothing accessories blankets and travelling rugs household linen and articles for interior furnishing of all types of textile materials incl. all types of footwear and headgear showing signs of appreciable wear and presented in bulk or in bales sacks or similar packings (excl. carpets other floor coverings and tapestries)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Tobacco partly or wholly stemmed or stripped otherwise unmanufactured', 'Flat-rolled products of iron or non-alloy steel of a width of >= 600 mm hot-rolled or cold-rolled ""cold-reduced"" not corrugated plated or coated with zinc (excl. electrolytically plated or coated with zinc)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)']","['Tobacco partly or wholly stemmed or stripped otherwise unmanufactured', 'Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of > 3 kg', 'Groundnuts shelled whether or not broken (excl. seed for sowing roasted or otherwise cooked)', 'Oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soya-bean oil', 'Raw cane sugar in solid form not containing added flavouring or colouring matter (excl. cane sugar of 1701 13)', 'Soya beans whether or not broken (excl. seed for sowing)', 'Dried shelled pigeon peas ""Cajanus cajan"" whether or not skinned or split', 'Dried vegetables and mixtures of vegetables whole cut sliced broken or in powder but not further prepared (excl. onions mushrooms and truffles not mixed)', 'Tobacco unstemmed or unstripped', 'Dried shelled beans ""Vigna and Phaseolus"" whether or not skinned or split (excl. beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"" small red ""Adzuki"" beans kidney beans Bambara beans and cow peas)']"
mali,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Portland cement (excl. white whether or not artificially coloured)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Urea whether or not in aqueous solution (excl. that in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Cigarettes containing tobacco', 'Machines for the reception conversion and transmission or regeneration of voice images or other data incl. switching and routing apparatus (excl. telephone sets telephones for cellular networks or for other wireless networks)', 'Mineral or chemical fertilisers containing the three fertilising elements nitrogen phosphorus and potassium (excl. those in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Metal furniture (excl. for offices seats and medical surgical dental or veterinary furniture)']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Cotton carded or combed', 'Live cattle (excl. pure-bred for breeding)', 'Pure-bred cattle for breeding', 'Live sheep', 'Mineral or chemical fertilisers containing the three fertilising elements nitrogen phosphorus and potassium (excl. those in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Oil seeds and oleaginous fruits whether or not broken (excl. edible nuts olives soya beans groundnuts copra linseed rape or colza seeds sunflower seeds palm nuts and kernels cotton castor oil sesamum mustard safflower melon and poppy seeds)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Fresh or dried guavas mangoes and mangosteens', 'Vegetables fruit nuts fruit-peel and other edible parts of plants preserved by sugar ""drained glacé or crystallised""']"
mauritania,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Soya-bean oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Parts of machinery of heading 8426 8429 and 8430 n.e.s.', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Cement clinkers', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)']","['Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)', 'Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Octopus ""Octopus spp."" frozen', 'Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Copper ores and concentrates', 'Frozen jack and horse mackerel ""Trachurus spp.""', 'Flours meals and pellets of fish or crustaceans molluscs or other aquatic invertebrates unfit for human consumption', 'Line pipe of a kind used for oil or gas pipelines seamless of iron or steel (excl. products of stainless steel or of cast iron)', 'Frozen mackerel ""Scomber scombrus Scomber australasicus Scomber japonicus""', 'Frozen salmonidae (excl. trout and Pacific Atlantic and Danube salmon)']"
